entreprise,annee,tableau,kpi,valeur
STAR,2017,Bilan au 31-12-2017,Total actif,1142902833
STAR,2017,Bilan au 31-12-2017,Capitaux propres,320834906
STAR,2017,Bilan au 31-12-2017,Total Passif,815019438
STAR,2017,Bilan au 31-12-2017,Actifs incorporels,8687510
STAR,2017,Bilan au 31-12-2017,Actifs corporels,5003635
STAR,2017,Bilan au 31-12-2017,Placements,786460069
STAR,2017,Bilan au 31-12-2017,Créances,218630257
STAR,2017,Bilan au 31-12-2017,Autres éléments d'actifs,67566555
STAR,2017,Bilan au 31-12-2017,Autres passifs,12522765
STAR,2017,Bilan au 31-12-2017,Part des réassureurs dans les provisions techniques,56554807
STAR,2017,Bilan au 31-12-2017,Provisions techniques brutes,720766211
STAR,2017,Bilan au 31-12-2017,Obligations,597550450
STAR,2017,Bilan au 31-12-2017,Actions et titres de participation,20651837
STAR,2017,Bilan au 31-12-2017,OPCVM,655226105
STAR,2017,Bilan au 31-12-2017,Dépôts et liquidité,28460176
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Provisions pour Primes non acquises,105917634
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Charges des provisions pour prestations diverses,-70423418
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Primes émises Non-Vie par assurance,354767966
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Primes acquises,324501129
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Charges de prestations Non-Vie,-273816751
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Charges d'acquisition et de gestion nettes Non-Vie,-80141799
STAR,2017,Annexe 13 - Resultat technique Non-Vie,Résultat technique Non-Vie,-8444942
