entreprise,annee,tableau,kpi,valeur
STAR,2022,Bilan au 31-12-2022,Total actif,1428605264
STAR,2022,Bilan au 31-12-2022,Capitaux propres,370960543
STAR,2022,Bilan au 31-12-2022,Total Passif,1025740149
STAR,2022,Bilan au 31-12-2022,Actifs incorporels,6473676
STAR,2022,Bilan au 31-12-2022,Actifs corporels,4498074
STAR,2022,Bilan au 31-12-2022,Placements,1044133930
STAR,2022,Bilan au 31-12-2022,Créances,219471499
STAR,2022,Bilan au 31-12-2022,Autres éléments d'actifs,73922641
STAR,2022,Bilan au 31-12-2022,Autres passifs,33846614
STAR,2022,Bilan au 31-12-2022,Part des réassureurs dans les provisions techniques,80105444
STAR,2022,Bilan au 31-12-2022,Provisions techniques brutes,884714205
STAR,2022,Bilan au 31-12-2022,Obligations,798023950
STAR,2022,Bilan au 31-12-2022,Actions et titres de participation,26411281
STAR,2022,Bilan au 31-12-2022,OPCVM,843396510
STAR,2022,Bilan au 31-12-2022,Dépôts et liquidité,5914209
STAR,2022,Bilan au 31-12-2022,Placements représentant des provisions techniques,0
